業務	BUC	先	アクティビティ	次	UC	関連モデル1	関連オブジェクト1	関連モデル2	関連オブジェクト2	説明	立場
ファイル配信業務	ファイルを収集して配信するフロー	""	収集ファイルを保全する	""	Archiveに保存する	条件	message_id採番	""	""	""	""
ファイル配信業務	ファイルを収集して配信するフロー	""	収集ファイルを保全する	""	Archiveに保存する	画面	Archive保存管理画面	アクター	配信基盤運用者	""	価値提供
ファイル配信業務	ファイルを収集して配信するフロー	""	ファイル配信を自動実行させる	""	Subscriptionへ複製配信する(Fan-out)	情報	Archiveファイル	""	""	Archive のファイルを Topic 配下の全 Subscription ディレクトリへ、一時名から rename する Atomic Write で複製配信する。Subscription ごとに配送は独立し、配送結果を Manifest に message_id・topic・Subscription 単位で記録する。再起動・再実行しても二重配信しない冪等処理とし、メッセージ配送状態を「Archive保存済」から「配信中」を経て「配信済(delivered)」へ遷移させる	""
ファイル配信業務	ファイルを収集して配信するフロー	""	ファイル配信を自動実行させる	""	Subscriptionへ複製配信する(Fan-out)	情報	Topic	""	""	""	""
ファイル配信業務	ファイルを収集して配信するフロー	""	ファイル配信を自動実行させる	""	Subscriptionへ複製配信する(Fan-out)	情報	Subscription	""	""	""	""
ファイル配信業務	ファイルを収集して配信するフロー	""	ファイル配信を自動実行させる	""	Subscriptionへ複製配信する(Fan-out)	情報	メッセージ	""	""	""	""
ファイル配信業務	ファイルを収集して配信するフロー	""	ファイル配信を自動実行させる	""	Subscriptionへ複製配信する(Fan-out)	情報	Manifest	""	""	""	""
ファイル配信業務	ファイルを収集して配信するフロー	""	ファイル配信を自動実行させる	""	Subscriptionへ複製配信する(Fan-out)	条件	全Subscription同報配信	""	""	""	""
ファイル配信業務	ファイルを収集して配信するフロー	""	ファイル配信を自動実行させる	""	Subscriptionへ複製配信する(Fan-out)	条件	Fan-out処理順序	""	""	""	""
ファイル配信業務	ファイルを収集して配信するフロー	""	ファイル配信を自動実行させる	""	Subscriptionへ複製配信する(Fan-out)	条件	AtomicWrite配置	""	""	""	""
ファイル配信業務	ファイルを収集して配信するフロー	""	ファイル配信を自動実行させる	""	Subscriptionへ複製配信する(Fan-out)	条件	二重配信防止	""	""	""	""
ファイル配信業務	ファイルを収集して配信するフロー	""	ファイル配信を自動実行させる	""	Subscriptionへ複製配信する(Fan-out)	画面	配信実行管理画面	アクター	配信基盤運用者	""	価値提供
ファイル配信業務	ファイルを収集して配信するフロー	""	配信失敗に対処させる	""	配信失敗をリトライしDLQへ隔離する	情報	メッセージ	""	""	一時的な配信失敗はメッセージ配送状態を「配信失敗(failed)」から「リトライ中」へ遷移させリトライで自動回復させる。規定回数を超えた恒久的な失敗は「DLQ隔離(dlq)」へ遷移させて滞留させず、運用者の対処判断に委ねる	""
ファイル配信業務	ファイルを収集して配信するフロー	""	配信失敗に対処させる	""	配信失敗をリトライしDLQへ隔離する	情報	Manifest	""	""	""	""
ファイル配信業務	ファイルを収集して配信するフロー	""	配信失敗に対処させる	""	配信失敗をリトライしDLQへ隔離する	情報	DLQ	""	""	""	""
ファイル配信業務	ファイルを収集して配信するフロー	""	配信失敗に対処させる	""	配信失敗をリトライしDLQへ隔離する	条件	リトライ上限	""	""	""	""
ファイル配信業務	ファイルを収集して配信するフロー	""	配信失敗に対処させる	""	配信失敗をリトライしDLQへ隔離する	画面	配信失敗対処画面	アクター	配信基盤運用者	""	価値提供
ファイル配信業務	ファイルを収集して配信するフロー	""	配信ファイルを取り込む	""	Subscriptionディレクトリからファイルを取得する	情報	Subscription	""	""	Consumer は自システム向け Subscription ディレクトリから従来手段でファイルを取得し、即時取り込み / 夜間バッチ等の自分のタイミングで取り込む。Subscription 独立配送により他 Consumer の取得・削除・取り込みタイミングの影響を受けず、取り込み順序の制御は Consumer 側の責任とする	""
ファイル配信業務	ファイルを収集して配信するフロー	""	配信ファイルを取り込む	""	Subscriptionディレクトリからファイルを取得する	条件	全Subscription同報配信	""	""	""	""
ファイル配信業務	ファイルを収集して配信するフロー	""	配信ファイルを取り込む	""	Subscriptionディレクトリからファイルを取得する	条件	AtomicWrite配置	""	""	""	""
ファイル配信業務	ファイルを収集して配信するフロー	""	配信ファイルを取り込む	""	Subscriptionディレクトリからファイルを取得する	画面	配信ファイル受取画面	アクター	Consumerシステム担当者	""	価値受益
ファイル配信業務	ファイルを収集して配信するフロー	""	配信ファイルを取り込む	""	Subscriptionディレクトリからファイルを取得する	イベント	配信ファイル受け渡し	外部システム	Consumerシステム(Current)	""	""
ファイル配信業務	ファイルを収集して配信するフロー	""	配信ファイルを取り込む	""	Subscriptionディレクトリからファイルを取得する	イベント	配信ファイル受け渡し	外部システム	Consumerシステム(Next)	""	""
ファイル配信業務	ファイルを再送するフロー	""	再送対象を特定する	""	配送履歴から再送対象を確認する	情報	Manifest	""	""	障害復旧や「先月分を再投入したい」等の遡及要望を受け、Manifest の配送履歴(message_id・topic・Subscription 別の delivered / failed / dlq)から再送対象の Topic・期間(またはメッセージ)と宛先 Subscription を特定する	""
ファイル配信業務	ファイルを再送するフロー	""	再送対象を特定する	""	配送履歴から再送対象を確認する	情報	メッセージ	""	""	""	""
ファイル配信業務	ファイルを再送するフロー	""	再送対象を特定する	""	配送履歴から再送対象を確認する	情報	Topic	""	""	""	""
ファイル配信業務	ファイルを再送するフロー	""	再送対象を特定する	""	配送履歴から再送対象を確認する	情報	Subscription	""	""	""	""
ファイル配信業務	ファイルを再送するフロー	""	再送対象を特定する	""	配送履歴から再送対象を確認する	情報	DLQ	""	""	""	""
ファイル配信業務	ファイルを再送するフロー	""	再送対象を特定する	""	配送履歴から再送対象を確認する	画面	配送履歴照会画面	アクター	配信基盤運用者	""	価値提供
ファイル配信業務	ファイルを再送するフロー	""	過去ファイルを再送する	""	再送(Replay)を実行する	情報	Archiveファイル	""	""	Archive に保存済みの過去ファイルを、Topic・期間(またはメッセージ指定)・宛先 Subscription を指定して再送する。再送の配送履歴も Manifest に記録し、追跡可能性を維持する	""
ファイル配信業務	ファイルを再送するフロー	""	過去ファイルを再送する	""	再送(Replay)を実行する	情報	メッセージ	""	""	""	""
ファイル配信業務	ファイルを再送するフロー	""	過去ファイルを再送する	""	再送(Replay)を実行する	情報	Topic	""	""	""	""
ファイル配信業務	ファイルを再送するフロー	""	過去ファイルを再送する	""	再送(Replay)を実行する	情報	Subscription	""	""	""	""
ファイル配信業務	ファイルを再送するフロー	""	過去ファイルを再送する	""	再送(Replay)を実行する	情報	Manifest	""	""	""	""
ファイル配信業務	ファイルを再送するフロー	""	過去ファイルを再送する	""	再送(Replay)を実行する	条件	Replay記録	""	""	""	""
ファイル配信業務	ファイルを再送するフロー	""	過去ファイルを再送する	""	再送(Replay)を実行する	条件	AtomicWrite配置	""	""	""	""
ファイル配信業務	ファイルを再送するフロー	""	過去ファイルを再送する	""	再送(Replay)を実行する	画面	再送実行画面	アクター	配信基盤運用者	""	価値提供
ファイル配信業務	ファイルを再送するフロー	""	再送ファイルを取り込む	""	Subscriptionディレクトリから再送ファイルを取得する	情報	Subscription	""	""	再送されたファイルを自システム向け Subscription ディレクトリから従来手段で取得し再投入する。再送は宛先 Subscription を指定して行われ他 Subscription の配送に影響しないため、並行稼働中でも安全に遡及処理できる	""
ファイル配信業務	ファイルを再送するフロー	""	再送ファイルを取り込む	""	Subscriptionディレクトリから再送ファイルを取得する	条件	Replay記録	""	""	""	""
ファイル配信業務	ファイルを再送するフロー	""	再送ファイルを取り込む	""	Subscriptionディレクトリから再送ファイルを取得する	画面	再送ファイル受取画面	アクター	Consumerシステム担当者	""	価値受益
ファイル配信業務	ファイルを再送するフロー	""	再送ファイルを取り込む	""	Subscriptionディレクトリから再送ファイルを取得する	イベント	再送ファイル受け渡し	外部システム	Consumerシステム(Current)	""	""
ファイル配信業務	ファイルを再送するフロー	""	再送ファイルを取り込む	""	Subscriptionディレクトリから再送ファイルを取得する	イベント	再送ファイル受け渡し	外部システム	Consumerシステム(Next)	""	""
配信基盤運用業務	配信基盤を運用するフロー	""	配信基盤を導入する	""	シングルバイナリ/Dockerイメージを配置する	情報	設定	""	""	Go 実装のシングルバイナリを追加ランタイムなしでレガシー現場のサーバへ配置するか、Docker コンテナイメージを利用して導入する。docker compose の動作確認環境で収集から配信までの動作を事前確認できる	""
配信基盤運用業務	配信基盤を運用するフロー	""	配信基盤を導入する	""	シングルバイナリ/Dockerイメージを配置する	画面	基盤導入画面	アクター	配信基盤運用者	""	価値提供
配信基盤運用業務	配信基盤を運用するフロー	""	デーモンを起動する	""	デーモンを起動する	情報	設定	""	""	ポーリング間隔を設定した常駐デーモンを起動する。Lock 取得で二重起動を防止し、異常終了後の stale lock からは安全に回復する。デーモン稼働状態を「起動中」から「稼働中」へ遷移させ、収集・配信サイクルの自動実行を開始する	""
配信基盤運用業務	配信基盤を運用するフロー	""	デーモンを起動する	""	デーモンを起動する	情報	Lock	""	""	""	""
配信基盤運用業務	配信基盤を運用するフロー	""	デーモンを起動する	""	デーモンを起動する	条件	二重起動防止	""	""	""	""
配信基盤運用業務	配信基盤を運用するフロー	""	デーモンを起動する	""	デーモンを起動する	画面	デーモン操作画面	アクター	配信基盤運用者	""	価値提供
配信基盤運用業務	配信基盤を運用するフロー	""	デーモンを停止する	""	デーモンをgraceful shutdownで停止する	情報	メッセージ	""	""	停止指示を受けたデーモンはデーモン稼働状態を「稼働中」から「停止処理中」へ遷移させ、処理中のメッセージを完了させてから「停止済」へ遷移する(graceful shutdown)。中途半端な状態を残さない	""
配信基盤運用業務	配信基盤を運用するフロー	""	デーモンを停止する	""	デーモンをgraceful shutdownで停止する	情報	Lock	""	""	""	""
配信基盤運用業務	配信基盤を運用するフロー	""	デーモンを停止する	""	デーモンをgraceful shutdownで停止する	条件	graceful shutdown	""	""	""	""
配信基盤運用業務	配信基盤を運用するフロー	""	デーモンを停止する	""	デーモンをgraceful shutdownで停止する	画面	デーモン操作画面	アクター	配信基盤運用者	""	価値提供
配信基盤運用業務	配信基盤を運用するフロー	""	Archive容量を管理する	""	保持期間超過のArchiveを削除する	情報	Archiveファイル	""	""	Archive に設定した保持期間を超過した分を安全に削除し、無限に溜めない。長期運用でのディスク枯渇を防ぎつつ、再送・監査に必要な期間のデータは確実に残す	""
配信基盤運用業務	配信基盤を運用するフロー	""	Archive容量を管理する	""	保持期間超過のArchiveを削除する	情報	設定	""	""	""	""
配信基盤運用業務	配信基盤を運用するフロー	""	Archive容量を管理する	""	保持期間超過のArchiveを削除する	条件	Archive保持期間	""	""	""	""
配信基盤運用業務	配信基盤を運用するフロー	""	Archive容量を管理する	""	保持期間超過のArchiveを削除する	画面	Archive容量管理画面	アクター	配信基盤運用者	""	価値提供
配信基盤運用業務	配信基盤を運用するフロー	""	運用を継続する	""	冪等に処理を再開する	情報	Manifest	""	""	障害・メンテナンスでの再起動後もデーモンは Manifest と処理済み管理に基づき冪等に処理を再開し、二重配信や履歴消失なく単一インスタンスでの安全な継続運用ができる	""
配信基盤運用業務	配信基盤を運用するフロー	""	運用を継続する	""	冪等に処理を再開する	情報	処理済み管理	""	""	""	""
配信基盤運用業務	配信基盤を運用するフロー	""	運用を継続する	""	冪等に処理を再開する	情報	メッセージ	""	""	""	""
配信基盤運用業務	配信基盤を運用するフロー	""	運用を継続する	""	冪等に処理を再開する	情報	Lock	""	""	""	""
配信基盤運用業務	配信基盤を運用するフロー	""	運用を継続する	""	冪等に処理を再開する	条件	二重配信防止	""	""	""	""
配信基盤運用業務	配信基盤を運用するフロー	""	運用を継続する	""	冪等に処理を再開する	条件	二重起動防止	""	""	""	""
配信基盤運用業務	配信基盤を運用するフロー	""	運用を継続する	""	冪等に処理を再開する	条件	元ファイル処理判定	""	""	""	""
配信基盤運用業務	配信基盤を運用するフロー	""	運用を継続する	""	冪等に処理を再開する	画面	処理再開確認画面	アクター	配信基盤運用者	""	価値受益
配信基盤運用業務	配送状況を確認するフロー	""	配送状況を確認する	""	statusコマンドで配送状態を確認する	情報	Manifest	""	""	status コマンドで Manifest に記録された message_id・topic・Subscription 別の配送状態(delivered / failed / dlq)を確認し、並行稼働中の障害調査・再送判断・監査に使う	""
配信基盤運用業務	配送状況を確認するフロー	""	配送状況を確認する	""	statusコマンドで配送状態を確認する	情報	メッセージ	""	""	""	""
配信基盤運用業務	配送状況を確認するフロー	""	配送状況を確認する	""	statusコマンドで配送状態を確認する	情報	Topic	""	""	""	""
配信基盤運用業務	配送状況を確認するフロー	""	配送状況を確認する	""	statusコマンドで配送状態を確認する	情報	Subscription	""	""	""	""
配信基盤運用業務	配送状況を確認するフロー	""	配送状況を確認する	""	statusコマンドで配送状態を確認する	画面	配送状況照会画面	アクター	配信基盤運用者	""	価値受益
配信基盤運用業務	配送状況を確認するフロー	""	DLQ対処を判断する	""	DLQ隔離メッセージを確認する	情報	DLQ	""	""	DLQ へ隔離されたメッセージを status コマンドで把握し、原因に応じて再送(Replay)・破棄等の対処を判断する	""
配信基盤運用業務	配送状況を確認するフロー	""	DLQ対処を判断する	""	DLQ隔離メッセージを確認する	情報	メッセージ	""	""	""	""
配信基盤運用業務	配送状況を確認するフロー	""	DLQ対処を判断する	""	DLQ隔離メッセージを確認する	情報	Manifest	""	""	""	""
配信基盤運用業務	配送状況を確認するフロー	""	DLQ対処を判断する	""	DLQ隔離メッセージを確認する	条件	リトライ上限	""	""	""	""
配信基盤運用業務	配送状況を確認するフロー	""	DLQ対処を判断する	""	DLQ隔離メッセージを確認する	画面	DLQ確認画面	アクター	配信基盤運用者	""	価値受益
配信基盤運用業務	配送状況を確認するフロー	""	障害を調査する	""	構造化ログを調査する	情報	ログ	""	""	どのメッセージのどの Subscription 配信が失敗したかを特定できる粒度の構造化ログを調査し、運用者が外部の助けなしに障害調査を完結させる	""
配信基盤運用業務	配送状況を確認するフロー	""	障害を調査する	""	構造化ログを調査する	情報	メッセージ	""	""	""	""
配信基盤運用業務	配送状況を確認するフロー	""	障害を調査する	""	構造化ログを調査する	情報	Subscription	""	""	""	""
配信基盤運用業務	配送状況を確認するフロー	""	障害を調査する	""	構造化ログを調査する	画面	ログ照会画面	アクター	配信基盤運用者	""	価値提供
配信基盤運用業務	配信基盤を監視するフロー	""	監視エンドポイントを公開する	""	/healthzと/metricsをHTTPで公開する	情報	メトリクス	""	""	デーモンが死活監視用の /healthz と Prometheus 形式の /metrics(topic 別の最終収集時刻・処理件数・配信失敗数・DLQ 件数・滞留数 等)を HTTP で公開する。しきい値判定・アラート発報は外部監視基盤の責務とする	""
配信基盤運用業務	配信基盤を監視するフロー	""	監視エンドポイントを公開する	""	/healthzと/metricsをHTTPで公開する	情報	Topic	""	""	""	""
配信基盤運用業務	配信基盤を監視するフロー	""	監視エンドポイントを公開する	""	/healthzと/metricsをHTTPで公開する	画面	監視エンドポイント設定画面	アクター	配信基盤運用者	""	価値提供
配信基盤運用業務	配信基盤を監視するフロー	""	監視エンドポイントを公開する	""	/healthzと/metricsをHTTPで公開する	イベント	監視データ提供	外部システム	監視基盤	""	""
配信基盤運用業務	配信基盤を監視するフロー	""	異常を検知する	""	外部監視基盤でTopic別メトリクスを観測する	情報	メトリクス	""	""	Prometheus / Grafana 等の外部監視基盤から /healthz による死活監視と /metrics による Topic ごとの異常検知(滞留・配信失敗・DLQ 件数の増加 等)を行い、障害対応・再送判断につなげる	""
配信基盤運用業務	配信基盤を監視するフロー	""	異常を検知する	""	外部監視基盤でTopic別メトリクスを観測する	情報	Topic	""	""	""	""
配信基盤運用業務	配信基盤を監視するフロー	""	異常を検知する	""	外部監視基盤でTopic別メトリクスを観測する	画面	監視ダッシュボード画面	アクター	配信基盤運用者	""	価値受益
配信基盤運用業務	配信基盤を監視するフロー	""	異常を検知する	""	外部監視基盤でTopic別メトリクスを観測する	イベント	アラート通知	外部システム	監視基盤	""	""
